"Rub and Buzz Peak Ratio",,,
Left,,Right,
X,Y,X,Y
Hz,dB,Hz,dB
10,-49.4103426218919,10,-46.9413710856471
17.6940281969636,-58.4854507811088,17.6940281969636,-57.4781691751269
25.3928635870624,-62.4585070701844,25.3928635870624,-65.4647553112373
33.0885010144515,-67.1155491678587,33.0885010144515,-67.6902575504529
40.7830381771567,-68.6380821178631,40.7830381771567,-67.9969709150283
48.4780138691693,-69.5898306941906,48.4780138691693,-69.9315253595753
56.1743797918813,-68.5400497217106,56.1743797918813,-68.1044553209131
63.8726543782242,-66.5886783031002,63.8726543782242,-69.86851588396
71.5739469075506,-71.4170179918354,71.5739469075506,-69.8946593938255
79.2705189133573,-69.7199299436962,79.2705189133573,-70.2844220918952
86.9681117778964,-71.0225485745532,86.9681117778964,-72.6020566859663
94.6513233633851,-72.0166767013395,94.6513233633851,-71.5540573381592
102.354746652985,-70.5613454181034,102.354746652985,-71.755057918133
110.048079507564,-70.4251206283115,110.048079507564,-71.0927305050053
117.751902850048,-69.6251080958703,117.751902850048,-72.5438183253259
125.450757287502,-71.3405259111309,125.450757287502,-71.8432529527886
133.139655618076,-68.6830194199826,133.139655618076,-71.2692228612744
140.824838323884,-71.2058779759854,140.824838323884,-71.4506433329649
148.524358358004,-73.1378058325452,148.524358358004,-72.1936394462942
156.218453336206,-73.4520056036364,156.218453336206,-72.9169806317341
163.91642570587,-70.5195605178347,163.91642570587,-71.2864765367329
171.6080845814,-69.4782518367494,171.6080845814,-71.1402282926734
179.315324606061,-70.6330443622344,179.315324606061,-71.0135200943503
187.008550429029,-71.1084308201826,187.008550429029,-72.1119090312696
194.719382182854,-72.2105485291322,194.719382182854,-71.6368913003154
202.39087599989,-71.4803450511235,202.39087599989,-70.0198907879109
210.094946808649,-69.0175097270646,210.094946808649,-68.9247569977232
217.812707355612,-72.2479064217506,217.812707355612,-69.9074178593948
225.488353424222,-73.2212172714019,225.488353424222,-71.353890179642
233.172635091374,-72.5923332742626,233.172635091374,-70.8989142862219
240.886933622716,-69.1973068497951,240.886933622716,-69.6499170601168
248.57730158026,-70.1703501351393,248.57730158026,-70.6197131802457
256.266532373728,-72.512452675958,256.266532373728,-69.4666539313749
263.981897617879,-68.0031468988497,263.981897617879,-69.3971170951135
271.668070162107,-69.7119362549259,271.668070162107,-70.1463647234592
279.353990742366,-68.5499012817696,279.353990742366,-67.9116672853725
287.073184463066,-69.154873479078,287.073184463066,-72.2951360264234
294.769269295812,-68.8992252529543,294.769269295812,-67.7302578481317
302.477620290861,-66.5033438784586,302.477620290861,-67.550874685309
310.138813675327,-69.0187227384163,310.138813675327,-68.9170563638522
317.841128201766,-70.0980374561955,317.841128201766,-73.0355068614332
325.525886799714,-69.1261112824547,325.525886799714,-68.0993707382053
333.2361178309,-69.2192802904221,333.2361178309,-69.3979253878524
340.91025596617,-72.0454999457351,340.91025596617,-73.1274297322574
348.649301605504,-69.7778914405843,348.649301605504,-67.9876321772503
356.335422871113,-68.8980345302886,356.335422871113,-69.5873279788194
364.015849349869,-66.5704988752015,364.015849349869,-67.2120032703178
371.742591287181,-68.775567205475,371.742591287181,-70.7940136131201
379.389943868549,-69.1842882055187,379.389943868549,-67.9367583069706
387.132538047579,-67.3802721524625,387.132538047579,-66.8475795266576
394.779869479324,-67.0820849016612,394.779869479324,-69.3323559836466
402.513721298528,-68.5823350903052,402.513721298528,-71.4666519870849
410.201721569402,-66.880327465426,410.201721569402,-67.8393382442424
417.902529816786,-66.680039615816,417.902529816786,-66.5940276224272
425.611402005699,-68.0856040652321,425.611402005699,-70.9118905179607
433.323497994127,-67.8222951513267,433.323497994127,-68.9986712968137
440.963177306359,-67.0573472687633,440.963177306359,-66.423067723568
448.66560363801,-64.8651116380345,448.66560363801,-66.4627343952164
456.356204657413,-67.1529058150929,456.356204657413,-66.0310098176808
464.104211281543,-68.5130838003456,464.104211281543,-68.9451995836794
471.756787539758,-66.8263731446501,471.756787539758,-67.9557810504699
479.458665006679,-67.6097973676922,479.458665006679,-68.5348250816672
487.130047202232,-67.3240101811756,487.130047202232,-64.6795928540332
494.844823536484,-70.4951323790256,494.844823536484,-69.7913045001544
502.520608430735,-69.0478713244597,502.520608430735,-68.3129401292875
510.233639973734,-70.9515149765218,510.233639973734,-68.6041056119168
517.981997690412,-68.2453339193555,517.981997690412,-66.6994452140428
525.679421646107,-66.5209342442944,525.679421646107,-67.6788068467906
533.320182309652,-67.6532835320364,533.320182309652,-71.612834456346
541.072001578714,-67.399003027279,541.072001578714,-69.7637527449786
548.760491414409,-69.8062950004976,548.760491414409,-67.3241279596029
556.46900250581,-68.9307193263555,556.46900250581,-68.3077874083422
564.104872436098,-66.4235029175922,564.104872436098,-70.2439529930212
571.845521804825,-67.0154403864434,571.845521804825,-67.6457623054214
579.506525036448,-67.8649480446639,579.506525036448,-67.8704460786984
587.176008542091,-67.9111807181806,587.176008542091,-67.9085884916579
594.946993885421,-68.239990957186,594.946993885421,-67.716033655751
602.62754549951,-69.8575420539378,602.62754549951,-68.569141195267
610.309386783875,-65.3813013071445,610.309386783875,-66.7405548984928
617.990055297848,-65.8636470415831,617.990055297848,-65.4985387616971
625.667057980233,-69.2100667617027,625.667057980233,-73.1695353524388
633.439428492053,-70.458002686701,633.439428492053,-66.6986671336671
641.102732620312,-71.403004212168,641.102732620312,-70.0995162411434
648.754718624341,-67.2290577943526,648.754718624341,-69.8237052569929
656.498036152674,-67.8491179653261,656.498036152674,-67.881089991634
664.227266054909,-66.7912320129558,664.227266054909,-68.3096717671166
671.832020825982,-66.1588908754236,671.832020825982,-67.0909177685778
679.523842626796,-68.6331891726509,679.523842626796,-72.926711715892
687.303728289976,-69.3510867645215,687.303728289976,-70.7026204636861
694.949796933157,-69.2510671550007,694.949796933157,-69.4698303576776
702.680926028202,-69.8215500901256,702.680926028202,-69.2884731428828
710.384151311946,-67.7031015731991,710.384151311946,-67.5769402477806
718.056683308612,-69.1636302889755,718.056683308612,-67.3776977038456
725.695717032421,-71.0836823588541,725.695717032421,-69.748002314693
733.41601848563,-73.2112110324002,733.41601848563,-71.0945170480543
741.099616452012,-69.1221572018852,741.099616452012,-69.6519211933339
748.863711266322,-70.3000907316046,748.863711266322,-68.5319609569951
756.587826924254,-69.859588674304,756.587826924254,-68.3822765943111
764.269061553509,-71.0010557983287,764.269061553509,-70.8760432967772
771.904504316566,-70.8145200438747,771.904504316566,-69.7750427575322
779.616229097462,-73.1969641924866,779.616229097462,-73.3291060670381
787.278757357602,-70.4932723604807,787.278757357602,-72.0325278814799
795.016597466246,-69.8045849485263,795.016597466246,-70.223678358445
802.701775906754,-69.4100731125868,802.701775906754,-70.6760577124299
810.461244579504,-71.1983526592081,810.461244579504,-68.6534519224534
818.164528437242,-69.6512353800152,818.164528437242,-71.8783302519598
825.808611658425,-71.9706437408335,825.808611658425,-68.4437306139008
833.524113287837,-73.760408446767,833.524113287837,-70.4963283435734
841.176817362629,-71.7675529653761,841.176817362629,-73.737659355467
848.899782007838,-72.3274503032424,848.899782007838,-68.6488340240562
856.556302963185,-73.0150659046283,856.556302963185,-73.1351402480911
864.281880731108,-74.1289813302138,864.281880731108,-71.968712939179
871.937322470289,-73.0478450308478,871.937322470289,-68.0151638113312
879.660572860245,-72.8188497173469,879.660572860245,-73.1696693410784
887.309951821973,-72.0212726983643,887.309951821973,-69.407021051073
895.025848484171,-69.7546036543438,895.025848484171,-72.4873971643153
902.808841273465,-69.6551564672289,902.808841273465,-71.3151456746251
910.513512241901,-70.0429147982236,910.513512241901,-72.5280351592772
918.136711939234,-69.3046811881094,918.136711939234,-72.343759821397
925.823736250747,-73.0489928141521,925.823736250747,-73.7747222160597
933.575119542789,-73.5369153004546,933.575119542789,-73.0669091485565
941.240472164146,-75.1601407706138,941.240472164146,-75.6971588708621
948.968763085357,-73.307247200419,948.968763085357,-73.4281916667359
956.607116534694,-74.6180256841874,956.607116534694,-74.8284779492287
964.30695192705,-74.8187625288614,964.30695192705,-74.6826670970118
972.06876413731,-73.0516902881025,972.06876413731,-72.8169754275423
979.735950758383,-73.5107495443,979.735950758383,-76.4262681424421
987.46361226853,-75.1593935374113,987.46361226853,-74.183655679399
995.092661939664,-77.5874028285378,995.092661939664,-72.4008441962862
1002.7806529208,-74.0512264711366,1002.7806529208,-75.1506169502254
1010.52804058687,-78.6792619278994,1010.52804058687,-76.1742101995447
1018.17201931837,-81.3582162207045,1018.17201931837,-71.6013707085076
1025.87381971191,-77.2675503679164,1025.87381971191,-74.5617030067603
1033.63387915026,-76.890089812971,1033.63387915026,-73.890623514264
1041.2856675243,-74.5475237294048,1041.2856675243,-73.7644108805818
1048.99410058318,-77.2596888729147,1048.99410058318,-75.5389798499986
1056.75959765636,-79.3936462506162,1056.75959765636,-75.8470978013351
1064.4119020711,-79.5599359106933,1064.4119020711,-70.907026701197
1072.11961905364,-79.9654516162753,1072.11961905364,-76.7767841226315
1079.71001769384,-79.1414017699734,1079.71001769384,-76.6836795798121
1087.52851279278,-74.990951879141,1087.52851279278,-80.7408384839826
1095.22800340742,-77.6812368893213,1095.22800340742,-81.8365230390461
1102.8051694294,-77.6232622619676,1102.8051694294,-79.7876181874272
1110.61281580548,-83.9884116786398,1110.61281580548,-82.305240073061
1118.2964192792,-77.6120222374137,1118.2964192792,-79.1336907793654
1126.03318057848,-79.6644808251689,1126.03318057848,-80.8862019439083
1133.64168732229,-80.7352292229613,1133.64168732229,-84.459991319633
1141.30160407413,-79.2693276529182,1141.30160407413,-83.3119126420306
1149.0132782069,-92.2319897294226,1149.0132782069,-83.3423874646926
1156.77705944066,-90.5331469652877,1156.77705944066,-84.226755518411
1164.40658654259,-98.2908627383276,1164.40658654259,-85.1692362466151
1172.08643421694,-93.2338556558007,1172.08643421694,-83.2763405718096
1179.81693435323,-86.3309939585802,1179.81693435323,-86.8949566031819
1187.59842102994,-81.5297984758408,1187.59842102994,-91.296924940905

